Família,Fabricante,Foto,Marca e Modelo,Toner,Rendimento,PPM,Papel,Voltagem,Funções,Resolução,Memória (padrão/max),HDD,Duplex,Cap. de Papel (padrão/max),Peças,Memória e Cartão SD,NDD,OBS
Multi JT Color A3,Epson,,Epson Multifuncional WorkForce Pro WF-C878R,Bolsa de Tinta DURABrite Ultra Pro T05B BYCM,86K B / 50K CYM,25,A3,bivolt,"Impressão, Cópia,
Digitalização e Fax",4800 dpi x 1200 dpi,,,SIM,250/1835,CX de Manutenção,,,
Multi Laser Color A3,Kyocera,,Kyocera Ecosys M8124,TK8117 BYCM,12k B / 6k CYM,24,A3,110v,"Impressão, Cópia,
Digitalização e Fax",1.200 x 1.200 dpi,1.5gb/3gb,--------,SIM,500/1600,,,,
Multi Laser Mono A3,Kyocera,,Kyocera Taskalfa MZ3200,TK7137,20k,17,A3,110v,"Impressão, Cópia,
Digitalização e Fax",1.200 x 1.200 dpi,4gb,320gb,SIM,1100/4100,,,,
Multi Laser Mono A3,Kyocera,,Kyocera Taskalfa MZ4000,TK7237,35k,21,A3,110v,"Impressão, Cópia,
Digitalização e Fax",1.200 x 1.200 dpi,4gb,230gb,SIM,1100/4100,,,,
Multi JT Color A4,Brother,,Brother DCP-T420W,BTD60BK / BT5001CYM,6.5K/5K,28/11,A4,bivolt,"Impressão, Cópia,
Digitalização",6000 x 1200 dpi,,,NÃO,150,,,,
Multi Laser Mono A4,Lexmark,,LEXMARK MX431ADW,Toner Lexmark 55B4000,,,A4,,,,,,,,,,,
Multi Laser Color A3,Ricoh,,RICOH IMC2000,Toner Ricoh IMC2000,,,A3,,,,,,,,,,,
Imp Laser Mono A4,Kyocera,,KYOCERA P2235,TK-1152,,,A4,,,,,,,,,,,
Multi Laser Mono A4,Brother,,Brother 2540,TN630/TN660/TN2370,,,A4,,,,,,,,,,,
Multi Laser Mono A4,Brother,,Brother 6902,TN3492S/TN890,,,A4,,,,,,,,,,,
Multi Laser Mono A4,,,Brother 6702,TN3472/TN850,,,A4,,,,,,,,,,,
Plotter,,,Plotter HP T520/T530/T120,711xl BYCM,,,#VALUE!,,,,,,,,,,,
Plotter,,,Plotter HP T210-T250/T630-T650,712 BYCM,,,#VALUE!,,,,,,,,,,,
